Prontuário Eletrônico de Pacientes,low,moderate,moderate,low,low,low,veryLow,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate,3
Simnumero,low,low,moderate,veryLow,veryHigh,low,veryLow,veryHigh,moderate,moderate,moderate,veryLow,low,moderate,moderate,3
MobileMedia,low,low,moderate,low,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
Mobile Game,low,low,moderate,low,moderate,moderate,veryLow,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
WebApp,low,low,moderate,low,moderate,low,low,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
VODPlayer,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
VOD feature model,low,moderate,moderate,moderate,low,low,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,3
IntelligentTutoringSystem,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,3
Address Book,moderate,moderate,moderate,moderate,low,low,moderate,high,moderate,moderate,moderate,high,moderate,moderate,moderate,3
Magister 2014-ROLOG,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,3
Parking lot Manager,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,3
CFDP Library,moderate,veryLow,veryLow,moderate,moderate,moderate,moderate,high,moderate,high,high,moderate,moderate,moderate,moderate,3
Virtual_Office_of_the_Future,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
Search_Engine_PL,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,3
Mobile Media JULIO,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,3
UML-IDE-TOOL,moderate,low,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
IDE4OCL,moderate,moderate,moderate,moderate,low,low,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,3
PhysEval,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,veryHigh,moderate,moderate,moderate,moderate,3
